pair_id,system,case_id,run_id,contains_unsupported_specific,advances_resolution,addresses_stated_problem,tone_appropriate,would_send_unedited,seconds,scored_at
full:2909818,full,2909818,20260919T051814Z,no,yes,yes,yes,yes,72.9,2026-09-19T06:42:51.587081+00:00
b1:879596,b1,879596,20260919T051810Z,no,yes,yes,yes,yes,41.2,2026-09-19T06:43:32.834616+00:00
no_rag:1873254,no_rag,1873254,20260919T051810Z,no,yes,yes,yes,yes,29.1,2026-09-19T06:44:01.974254+00:00
full:1403638,full,1403638,20260919T051814Z,no,yes,yes,yes,yes,33.0,2026-09-19T06:44:35.028373+00:00
b1:930008,b1,930008,20260919T051810Z,no,yes,yes,yes,yes,28.1,2026-09-19T06:45:03.092097+00:00
no_rag:2153126,no_rag,2153126,20260919T051810Z,yes,yes,yes,yes,yes,61.8,2026-09-19T06:46:04.891419+00:00
no_rag:777062,no_rag,777062,20260919T051810Z,no,yes,yes,yes,yes,52.4,2026-09-19T06:46:57.293512+00:00
b1:707060,b1,707060,20260919T051810Z,no,no,no,no,no,24.0,2026-09-19T06:47:21.340607+00:00
b1:1753711,b1,1753711,20260919T051810Z,no,yes,yes,no,no,20.6,2026-09-19T06:47:41.917783+00:00
no_rag:1291268,no_rag,1291268,20260919T051810Z,yes,yes,yes,yes,no,29.3,2026-09-19T06:48:11.208566+00:00
no_rag:93872,no_rag,93872,20260919T051810Z,no,yes,yes,yes,yes,18.8,2026-09-19T06:48:30.014552+00:00
full:93872,full,93872,20260919T051814Z,no,yes,yes,yes,yes,26.5,2026-09-19T06:48:56.496252+00:00
no_rag:2795543,no_rag,2795543,20260919T051810Z,no,yes,yes,yes,yes,25.7,2026-09-19T06:49:22.219013+00:00
full:652516,full,652516,20260919T051814Z,yes,no,yes,yes,no,42.1,2026-09-19T06:50:04.318934+00:00
no_rag:2081707,no_rag,2081707,20260919T051810Z,no,no,yes,yes,yes,40.9,2026-09-19T06:50:45.254017+00:00
no_rag:1808449,no_rag,1808449,20260919T051810Z,no,yes,yes,yes,no,22.5,2026-09-19T06:51:07.750287+00:00
full:994547,full,994547,20260919T051814Z,no,yes,yes,yes,yes,27.5,2026-09-19T06:51:35.285201+00:00
b1:2541144,b1,2541144,20260919T051810Z,yes,no,no,no,no,29.8,2026-09-19T06:52:05.120245+00:00
full:1708084,full,1708084,20260919T051814Z,no,yes,yes,yes,yes,20.6,2026-09-19T06:52:25.731799+00:00
full:2036165,full,2036165,20260919T051814Z,no,yes,yes,yes,yes,31.8,2026-09-19T06:52:57.559109+00:00
b1:1701220,b1,1701220,20260919T051810Z,yes,yes,yes,yes,no,21.2,2026-09-19T06:53:18.802957+00:00
b1:345172,b1,345172,20260919T051810Z,no,no,no,no,no,21.3,2026-09-19T06:53:40.066998+00:00
no_rag:550046,no_rag,550046,20260919T051810Z,no,yes,yes,yes,yes,24.8,2026-09-19T06:54:04.905014+00:00
b1:2296741,b1,2296741,20260919T051810Z,no,no,no,no,no,18.0,2026-09-19T06:54:22.939234+00:00
no_rag:963669,no_rag,963669,20260919T051810Z,no,no,no,no,no,18.9,2026-09-19T06:54:41.805232+00:00
no_rag:1852370,no_rag,1852370,20260919T051810Z,yes,no,yes,yes,no,79.7,2026-09-19T06:56:01.470747+00:00
b1:2916578,b1,2916578,20260919T051810Z,no,no,no,no,no,24.3,2026-09-19T06:56:25.762590+00:00
b1:1708084,b1,1708084,20260919T051810Z,yes,yes,yes,yes,no,22.8,2026-09-19T06:56:48.586799+00:00
b1:831462,b1,831462,20260919T051810Z,yes,no,yes,yes,no,22.2,2026-09-19T06:57:10.833931+00:00
no_rag:2492568,no_rag,2492568,20260919T051810Z,no,yes,yes,yes,yes,20.9,2026-09-19T06:57:31.765954+00:00
